7rings.flac,3553387
badguy.flac,2989902
BlindingLights.flac,3685108
CheapThrills.flac,4039010
Chlorine.flac,3344864
DNA.flac,3164378
DontStartNow.flac,3696707
EARFQUAKE.flac,3594851
HotlineBling.flac,3192516
LessIKnowTheBetter.flac,3646287
NeverReallyOver.flac,3892294
OldTownRoad.flac,3427251
Psycho.flac,3427905
TheWeekend.flac,3391448
ThisIsAmerica.flac,3589288
TruthHurts.flac,3623405
24K.flac,3382815
DaddyLike.flac,3366903
DoTheCrime.flac,3748516
GirlWithTheGoldWrist.flac,3634713
IGiveUp.flac,3444536
Lace.flac,3504586
LOADED.flac,3685154
LoseYourLove.flac,3393826
LoveIsADrug.flac,3806097
MeIn20Years.flac,3549620
Onanon.flac,3476847
Ordinary.flac,3310351
PayUp.flac,3410520
Somehow.flac,3628659
SuperStars.flac,3571298
ThisWholeTown.flac,3830624
